task_id,subtask_id,status,encoder,encoded_at,validate_status_1
P0001,,completed,38179254,2026-08-24T13:09:51.689Z,
P0001,S0001,completed,,,pass|297915765|2026-08-24T13:12:16.372Z
P0002,,completed,297915765,2026-08-25T10:00:43.445Z,
P0002,S0001,completed,,,pass|38179254|2026-08-25T10:04:00.926Z
T0001,,encoding_required,,,
T0001,S0001,pending,,,
T0002,,encoding_required,,,
T0002,S0001,pending,,,
